ID,Headword,Form,Classification,Definition,Examples,Tagging Note
A-0154,Adulterated,sophisticate; sophisticated,"Lawfulness, Merchantability, & Authenticity","Describes whether something is lawful, genuine, valid, authorized, or fit for commerce as framed by “Sophisticated.”",sophisticated goods; abuse and sophisticate,
A-0005,Alive,alyve,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Alive,” applied to people, goods, or objects.",being yet alive,
A-0006,Ancient,auncyent; auntient,Temporal Attributes,"Describes relation to time—age, timing, sequence, or duration—expressed by “Ancient.”",ancient way; ancient dykes,
A-0221,Angry,great displeasure,Mental & Emotional State,"Describes a person’s emotional state as marked by anger, displeasure, resentment, or hostility.",,
A-0007,Ashamed,ashamed,Mental & Emotional State,"Describes an internal feeling, attitude, or mental posture characterized by “Ashamed.”",ashamed the same should be heard; ashamed thereof,
A-0009,Bad,bad; badd; evell; evill,Multi-Use Terms,"A broad negative evaluation that may describe poor quality, wrongful conduct, or undesirable condition depending on context; use a more specific attribute when available.",bad corn; very evil and bad corn; bad and corrupt disposition,Edge case: can be moral blame or material defect; choose the category implied by surrounding nouns (person vs goods).
A-0011,Bankrupt,bankeroute,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Bankrupt.”,bankrupt person; was bankrupt,
A-0013,Black,blacke,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Black,” applied to people, goods, or objects.",black cloth,
A-0014,Blinded,blynded,Condition & Appearance,"Marks a person as blind or deprived of sight; can also be used metaphorically, so check whether physical impairment is meant.",blinded with friendship; overcome and blinded,Edge case: physical vs metaphorical; prefer physical unless context clearly indicates figurative blindness.
A-0015,Blue,blewe,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Blue,” applied to people, goods, or objects.",blue cloth,
A-0209,Brown,browne,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “brown,” applied to people, goods, or objects.",browne canvas,
A-0017,Careful,carefull; carefully,Mental & Emotional State,"Describes an internal feeling, attitude, or mental posture characterized by “Careful.”",carefully performed; careful dealing; careful and honest dealing,
A-0018,Causeless,causeles,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Causeless.”,causeless suit; this causeless suit,
A-0019,Cautelous,cautelous,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Cautelous.”,untrue and cautelous; cautelous pleading,
A-0020,Christian,christian,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Christian.”,a Christian person; a Christian and not of the nation of the Jews,
A-0021,Color,color,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Color,” applied to people, goods, or objects.",color of the cloth,
A-0022,Colorable,collorable; colorable; colerablye,"Lawfulness, Merchantability, & Authenticity",Marks something as only apparently lawful or genuine—having a plausible outward color while lacking true right or validity.,colorable way; most colorable escape,
A-0024,Confederated,confederatt; confederate,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Confederated.”,confederated together; did secretly confederate,
A-0025,Confused,confusedly,Mental & Emotional State,"Marks a person’s understanding, speech, or account as disordered or unclear; can also describe a confused state of affairs or record.",confusedly inserted; confused entry,
A-0026,Content,contented,Mental & Emotional State,"Describes an internal feeling, attitude, or mental posture characterized by “Content.”",contented with the bargain; contented therewith,
A-0027,Contentious,contencious,Mental & Emotional State,"Describes an internal feeling, attitude, or mental posture characterized by “Contentious.”",contentious among neighbours; very contentious,
A-0028,Contumacious,contemptes; contempned,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Contumacious.”,standeth out all contempts; contemned the requests,
A-0029,Corrupt,corrupt; corruptly; corruptlie; corruptlye,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Corrupt.”,corrupt dealing; corruptly swear; deceitfully and corruptly; corrupt disposition,
A-0031,Costly,costlye,Quantity & Value,"Describes magnitude, sufficiency, degree, or economic worth conveyed by “Costly.”",costly wares,
A-0032,Counterfeit,counterfeyte; counterfeate,"Lawfulness, Merchantability, & Authenticity","Marks goods, money, or instruments as falsely made or not genuine.",counterfeit seal; counterfeit stone; counterfeited the same,
A-0033,Covert,covertly; covertlye,Mental & Emotional State,"Describes an internal feeling, attitude, or mental posture characterized by “Covert.”",covertly concluded; covertly handled,Edge case: often describes hidden manner; may overlap with concealment concepts.
A-0034,Covetous,covetous; covenously,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Covetous.”,covetous mind; led with a covetous mind,
A-0035,Crafty,craftely; craftelie; craftye,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Crafty.”,crafty practice; craftily set down; crafty disposition,
A-0212,Credible,credeable,Moral Character,"An adjectival assessment that a person, statement, or report is worthy of belief or trust in the context of the clause.",,
A-0037,Cunning,cunningly; cunnynge,Moral Character,Expresses an ethical or reputational judgment about a person’s character or conduct captured by “Cunning.”,cunning in forgeries; very cunningly,
A-0038,Customed,custommed,"Lawfulness, Merchantability, & Authenticity","Describes whether something is lawful, genuine, valid, authorized, or fit for commerce as framed by “Customed.”",customed goods; duly customed,
A-0039,Damaged,broken; golfeburnt,Condition & Appearance,"Material impairment caused by an event, handling, force, or accident.",,
A-0040,Damnifying,dampnified,Quantity & Value,Describes economic harm ,damnified exceedingly; prejudiced and damnified,
A-0041,Dead,deade,Condition & Appearance,"Describes a physical, sensory, or functional condition signaled by the adjective “Dead,” applied to people, goods, or objects.",being dead,
A-0042,Deceitful,deceytfull; deceiptfull; deceitfull,Moral Character,Act or behavior described as involving deception.,deceitful dealings; deceitful ware and stuff; deceitful placing; deceitfull abuses,
